visit_date,site_id,registered,device_class_code,referrer_medium,referrer_source,num_visits,locale_code
2019-07-03,121,false,smartphone,search,Google,338,UNKNOWN_LOCALE
2019-07-03,304,false,desktop,direct,unknown,334,UNKNOWN_LOCALE
2019-07-03,116,false,smartphone,internal,unknown,326,UNKNOWN_LOCALE
2019-07-03,902,false,tablet,direct,unknown,321,UNKNOWN_LOCALE
2019-07-03,308,false,smartphone,direct,unknown,320,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,search,Google,320,UNKNOWN_LOCALE
2019-07-03,120,false,smartphone,search,Google,316,UNKNOWN_LOCALE
2019-07-03,301,false,smartphone,search,Google,316,UNKNOWN_LOCALE
2019-07-03,106,true,desktop,direct,unknown,310,UNKNOWN_LOCALE
2019-07-03,902,false,desktop,internal,unknown,310,UNKNOWN_LOCALE
2019-07-03,113,false,desktop,Email,Email,305,UNKNOWN_LOCALE
2019-07-03,305,false,desktop,search,Google,304,UNKNOWN_LOCALE
2020-04-22,112,true,smartphone,direct,unknown,6020,en_GB
2019-07-03,308,false,smartphone,internal,unknown,303,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,internal,unknown,297,UNKNOWN_LOCALE
2019-07-03,904,false,desktop,direct,unknown,291,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,search,Google,290,UNKNOWN_LOCALE
2019-07-03,302,true,smartphone,direct,unknown,283,UNKNOWN_LOCALE
2019-07-03,1701,false,smartphone,search,Google,278,UNKNOWN_LOCALE
2019-07-03,801,false,smartphone,search,Google,273,UNKNOWN_LOCALE
2019-07-03,121,false,smartphone,search,Google,268,UNKNOWN_LOCALE
2019-07-03,103,false,desktop,direct,unknown,267,UNKNOWN_LOCALE
2019-07-03,117,false,tablet,direct,unknown,264,UNKNOWN_LOCALE
2019-07-03,1103,false,smartphone,direct,unknown,261,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,unknown,unknown,251,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,search,Google,248,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,social,Facebook,248,UNKNOWN_LOCALE
2019-07-03,309,false,smartphone,search,Google,247,UNKNOWN_LOCALE
2019-07-03,301,false,smartphone,search,Google,244,UNKNOWN_LOCALE
2019-07-03,1102,false,smartphone,direct,unknown,241,UNKNOWN_LOCALE
2019-07-03,1102,false,smartphone,search,Google,241,UNKNOWN_LOCALE
2019-07-03,116,false,tablet,direct,unknown,240,UNKNOWN_LOCALE
2019-07-03,115,false,desktop,direct,unknown,232,UNKNOWN_LOCALE
2019-07-03,901,false,desktop,search,Google,230,UNKNOWN_LOCALE
2019-07-03,109,false,tablet,direct,unknown,229,UNKNOWN_LOCALE
2019-07-03,115,false,smartphone,search,Google,226,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,search,Google,220,UNKNOWN_LOCALE
2019-07-03,903,false,desktop,direct,unknown,218,UNKNOWN_LOCALE
2019-07-03,106,false,smartphone,search,Google,217,UNKNOWN_LOCALE
2019-07-03,115,false,smartphone,social,Instagram,215,UNKNOWN_LOCALE
2019-07-03,121,false,desktop,search,Google,215,UNKNOWN_LOCALE
2019-07-03,120,false,desktop,search,Google,215,UNKNOWN_LOCALE
2019-07-03,302,false,smartphone,social,Facebook,213,UNKNOWN_LOCALE
