campaign_id,ncampaign_id,description,valid_from,valid_to,is_continuous
8350001,E2-BNL-TROUBLEMAKER-TEST,XXX,,,false
25560002,DE-Confidenceinyourglow-50-012021,XXX,,,false
28800001,KIE_FR_20210129_20210401_OFFRE-BIENVENUE-AFFIL,XXX,,,false
1511443,IT_Discount_MUS20_20190926,,2000-01-01 00:00:00.000,2019-12-31 23:00:00.000,true
28810001,UDC_ES_15-2_28-2_Nakedwild,XXX,,,false
28830001,Save 20% Sitewide (15 Feb - 1 March),XXX,,,false
11960001,__UNDEFINED__,XXX,,,false
28830002,DE-BIO-MASKENPROMO-022021,XXX,,,false
1514234,ES-FF19RegistradosSINCUPON,,2019-10-03 13:00:00.000,2019-10-04 13:00:00.000,true
28840001,DE-KIE-JANUARSETS-022020,XXX,,,false
28860001,LRP save 20% Feb Sale,XXX,,,false
28870001,PROMO-OCCHI-15022021,XXX,,,false
28880001,KIE_ES_15-2_28-2_Basicos-febrero,XXX,,,false
28890001,DE-ITC-Influencer-Nadine-022021,XXX,,,false
28900001,AOX - VICHY 02/2021 - 2 PRODUITS GEL PHYTO OFFERT VICHYSTUDENT,XXX,,,false
28910001,LAC_ES_DNR_favoritos-1,XXX,,,false
28910002,Flacons_Recharge_Offre,XXX,,,false
28910003,AOX - SANOFLORE - 2021-02- ROLLON,XXX,,,false
28920001,LAC_UK_15022021_28022021_AGTVSAMPLING_15off,XXX,,,false
28940001,DE-ITC-EBAS-CODES-2021,XXX,,,false
28950001,GWP-LIVELISA-202101XX,XXX,,,false
7730090,CZ_1dlx_masky,,2020-10-01 22:00:00.000,2020-10-14 22:00:00.000,true
28960001,ARMANI_ Si_Intense_AlwaysOn_GWP,XXX,,,false
28970001,LAC-FR-OFFRE-PRODUCTSET-LASHDAY,XXX,,,false
1511014,CORPORATE-BENEFITS-DE_APRIL_2020,,2020-04-02 22:00:00.000,2020-04-12 22:00:00.000,true
1512862,NYX_FR_2020_HELLOVIP,,2000-01-01 00:00:00.000,2050-01-01 00:00:00.000,true
1513642,SKINCARE_ROUTINE_TREAT_50,,2020-06-03 23:00:00.000,2020-06-22 22:45:00.000,true
60012,PayDay,XXX,,,false
60013,AOX - SANOFLORE - 2020-07 - SUMMER60,XXX,,,false
60014,AOX - SANOFLORE - SHIPPING 45€,XXX,,,false
60015,KIE_UAE_CONTINUOUSLY_595-695-895-GWP,XXX,,,false
11820001,AOX - LRP - 11/2020 - OFFRE EFFACLAR SHOWROOMPRIVE,XXX,,,false
1514176,FR_SHIPPING_1OFFER_20190129,,2000-01-01 00:00:00.000,2019-02-03 23:00:00.000,true
