payment_method_id,npayment_method_id,display_name
20103,GIFT_CERTIFICATE,Gift Certificate
20043,PayPal,PayPal
20105,BANK_TRANSFER,Bank Transfer
20106,BML,Bill Me Later
390001,GIFT_CERTIFICATE,Gift Certificate
20108,DW_ANDROID_PAY,Android Pay
390002,CREDIT_CARD,Credit Card
20110,PAYMENTTECH_GIFTCARD,Gift Card
20089,Ing,Ing
20090,iDEAL,iDEAL
390003,BANK_TRANSFER,Bank Transfer
20064,PayPal,PayPal
20080,Sofurt,Sofurt
20081,iDEAL,iDEAL
20107,DW_APPLE_PAY,Apple Pay
20109,PayPal,Pay Pal
30012,CREDIT_CARD,Credit Card
30017,PayPal,PayPal
290001,HostedCreditCard,Hosted Credit Card
390004,BML,Bill Me Later
390005,DW_APPLE_PAY,Apple Pay
390006,DW_ANDROID_PAY,Android Pay
380001,HostedCreditCard,HostedCreditCard
320003,HostedCreditCard,Hosted Credit Card
320004,HostedCreditCard,Hosted Credit Card
320002,HostedCreditCard,HostedCreditCard
320001,HostedCreditCard,Hosted Credit Card
390007,PayPal,PayPal
400001,GIFT_CERTIFICATE,Gift Certificate
400002,CREDIT_CARD,Credit Card
400003,BANK_TRANSFER,Bank Transfer
20104,CREDIT_CARD,Credit Card
10073,DW_APPLE_PAY,Apple Pay
10074,DW_APPLE_PAY,Apple Pay
10075,PAYMENT_ON_PAYU_CREDIT_CARD,PAYMENT_ON_PAYU_CREDIT_CARD
10092,Sofurt,SOFORT
10077,PAYMENT_ON_PAYU_BANK_TRANSFER,PAYMENT_ON_PAYU_BANK_TRANSFER
10078,PAYMENT_ON_PAYU_CREDIT_CARD,PAYMENT_ON_PAYU_CREDIT_CARD
400004,BML,Bill Me Later
330001,HostedCreditCard,Hosted Credit Card
400005,DW_APPLE_PAY,Apple Pay
10082,GIFT_CERTIFICATE,Gift Certificate
400006,DW_ANDROID_PAY,Android Pay
400007,HostedCreditCard,Hosted Credit Card
970004,LIVESCALE,Livescale Payment
10086,BML,Bill Me Later
10087,DW_ANDROID_PAY,Android Pay
10088,DW_APPLE_PAY,Apple Pay
460003,BANK_TRANSFER,Bank Transfer
10090,PAYMENT_ON_PAYU_BANK_TRANSFER,PAYMENT_ON_PAYU_BANK_TRANSFER
10091,PAYMENT_ON_PAYU_CREDIT_CARD,PAYMENT_ON_PAYU_CREDIT_CARD
10093,GIFT_CERTIFICATE,Gift Certificate
10096,BML,Bill Me Later
10100,New Payment Method - 4/12/16 6:34:50 pm,New Payment Method - 4/12/16 6:34:50 pm
10057,CREDIT_CARD,Credit Card
10094,CREDIT_CARD,Credit Card
10063,PAYMENT_ON_PAYU,Credit card / Bank Transfert
10084,CREDIT_CARD,Credit Card
10085,BANK_TRANSFER,Bank Transfer
10064,COD,Cash on delivery
10061,PayPal,Pay Pal
10076,PAYMENT_ON_PAYU,Credit card / Bank Transfert
10089,zeze,Bankovní převod
10098,PAYMENT_ON_PAYU,Credit card / Bank Transfert
10083,PAYMENT_ON_PAYU,Credit card / Bank Transfert
10097,PayPal,Pay Pal
10080,PayPal,Pay Pal
10081,PAYMENTTECH_GIFTCARD,Gift Card
10079,COD,Cash on delivery
10099,COD,Cash on delivery
10095,BANK_TRANSFER,Bank Transfer
10055,DW_APPLE_PAY,Apple Pay
60008,GIFT_CERTIFICATE,Gift Certificate
60009,CREDIT_CARD,Credit Card
60010,BANK_TRANSFER,Bank Transfer
60011,BML,Bill Me Later
60012,DW_APPLE_PAY,Apple Pay
60013,DW_ANDROID_PAY,Android Pay
60014,PayPal,Pay Pal
60015,PAYMENTTECH_GIFTCARD,Gift Card
60001,GIFT_CERTIFICATE,Gift Certificate
40001,PAYPAL,Pay Pal
50001,PAYMENT_ON_PAYU,PAYMENT_ON_PAYU
970005,Adyen,PayPal
70002,CREDIT_CARD,Credit Card
70003,BANK_TRANSFER,Bank Transfer
70004,BML,Bill Me Later
70005,DW_APPLE_PAY,Apple Pay
70006,DW_ANDROID_PAY,Android Pay
70007,PayPal,Pay Pal
70008,PAYMENTTECH_GIFTCARD,Gift Card
70009,COD,Cash on Delivery
60002,CREDIT_CARD,Credit Card
60003,BANK_TRANSFER,Bank Transfer
60004,BML,Bill Me Later
60005,DW_APPLE_PAY,Apple Pay
60006,DW_ANDROID_PAY,Android Pay
10041,CREDIT_CARD,Credit Card
80001,Sofurt,SOFORT
80008,CREDIT_CARD,Credit Card
80002,CREDIT_CARD,Credit Card
90008,CREDIT_CARD,Credit Card
110009,Sofurt,SOFORT
110011,PayPal,PayPal
110013,CREDIT_CARD,Credit Card
10038,CREDIT_CARD,Credit Card
350001,HostedCreditCard,Credit card
970007,CREDIT_CARD,Credit Card
360001,GIFT_CERTIFICATE,Kitty Jackpot
100001,CREDIT_CARD,Credit Card
100002,BANK_TRANSFER,Bank Transfer
100003,BML,Bill Me Later
100004,DW_APPLE_PAY,Apple Pay
100005,DW_ANDROID_PAY,Android Pay
100006,GIFT_CERTIFICATE,Gift Certificate
100007,CREDIT_CARD,Credit Card
100008,BML,Bill Me Later
100009,DW_APPLE_PAY,Apple Pay
100010,DW_ANDROID_PAY,Android Pay
100011,GIFT_CERTIFICATE,Gift Certificate
90001,GIFT_CERTIFICATE,Gift Certificate
90005,DW_APPLE_PAY,Apple Pay
80007,GIFT_CERTIFICATE,Gift Certificate
90013,GIFT_CERTIFICATE,Gift Certificate
80003,BANK_TRANSFER,Bank Transfer
80004,BML,Bill Me Later
80005,DW_APPLE_PAY,Apple Pay
80006,DW_ANDROID_PAY,Android Pay
90007,GIFT_CERTIFICATE,Gift Certificate
90009,BANK_TRANSFER,Bank Transfer
90010,BML,Bill Me Later
90011,DW_APPLE_PAY,Apple Pay
90012,DW_ANDROID_PAY,Android Pay
100012,CREDIT_CARD,Credit Card
100013,Sofurt,SOFORT
100014,BML,Bill Me Later
100015,DW_APPLE_PAY,Apple Pay
100016,DW_ANDROID_PAY,Android Pay
100017,PayPal,PayPal
100018,GIFT_CERTIFICATE,Gift Certificate
100019,CREDIT_CARD,Credit Card
100020,BANK_TRANSFER,Bank Transfer
100021,BML,Bill Me Later
100022,DW_APPLE_PAY,Apple Pay
100023,DW_ANDROID_PAY,Android Pay
100024,GIFT_CERTIFICATE,Gift Certificate
100025,PayPal,PayPal
100026,Sofurt,SOFORT
100027,BANK_TRANSFER,Bank Transfer
100028,PayPal,PayPal
100029,Sofurt,SOFORT
100030,BANK_TRANSFER,Bank Transfer
100031,PayPal,PayPal
100032,Sofurt,SOFORT
110001,GIFT_CERTIFICATE,Gift Certificate
970008,BANK_TRANSFER,Bank Transfer
110003,BANK_TRANSFER,Bank Transfer
110004,BML,Bill Me Later
110005,DW_APPLE_PAY,Apple Pay
110006,DW_ANDROID_PAY,Android Pay
110007,COD,COD
420001,GIFT_CERTIFICATE,Gift Certificate
420002,CREDIT_CARD,Credit Card
110010,COD,COD
420003,BANK_TRANSFER,Bank Transfer
110012,GIFT_CERTIFICATE,Gift Certificate
110017,CREDIT_CARD,Credit Card
110014,BANK_TRANSFER,Bank Transfer
