registration_id,utc_registration_day_id,utc_registration_time_id,utc_registration_timestamp,std_registration_day_id,std_registration_time_id,std_registration_timestamp,std_registration_timezone_id,visitor_id,registration_site_id,locale_id,user_agent_id,customer_id
14640402,8331,697,2022-10-21 09:56:40.000,8331,697,2022-10-21 09:56:40.000,595,bc1eUAzi7ZKIrq8LhkTajmZCd3,3101,216,202,1584809072
11754201,8133,1155,2022-04-06 17:34:33.000,8133,1155,2022-04-06 17:34:33.000,595,acSsV9XMQ0KNsj1aHzdKjCBZlm,3101,216,103,1584087532
8638011,7961,757,2021-10-16 10:56:45.000,7961,757,2021-10-16 10:56:45.000,595,ab322Nrd8UmtEWOeR1C1sKx99B,3101,216,440101,1583146274
11611609,8125,992,2022-03-29 14:51:29.000,8125,992,2022-03-29 14:51:29.000,595,add1qZ7TXwnhaXtG4sAO9J2Urb,3101,216,195101,1584044150
11653904,8127,1502,2022-03-31 23:21:21.000,8127,1502,2022-03-31 23:21:21.000,595,abiXMC1LA6IQiyxwzdY7Enxgrj,3101,216,443301,1584064681
11531114,8120,1388,2022-03-24 21:27:39.000,8120,1388,2022-03-24 21:27:39.000,595,afgmRlfogejCkqOcFbCaNd1Erx,3101,216,632401,1584020495
14820405,8344,512,2022-11-03 06:51:04.000,8344,512,2022-11-03 06:51:04.000,595,abylzoBQqfAbepSHYkOXASqbA7,3101,216,618901,1584867243
8674501,7963,1064,2021-10-18 16:03:26.000,7963,1064,2021-10-18 16:03:26.000,595,__ANONYMOUS__,3101,216,103,1583161931
11527540,8120,1171,2022-03-24 17:50:14.000,8120,1171,2022-03-24 17:50:14.000,595,__ANONYMOUS__,3101,216,618901,1584018393
11642483,8127,534,2022-03-31 07:13:13.000,8127,534,2022-03-31 07:13:13.000,595,__ANONYMOUS__,3101,216,618901,1584058024
11545638,8121,1205,2022-03-25 18:24:01.000,8121,1205,2022-03-25 18:24:01.000,595,abeFhcuCGWDqLfKiZGgcjuwzgS,3101,216,459301,1584025824
14641010,8331,733,2022-10-21 10:32:45.000,8331,733,2022-10-21 10:32:45.000,595,bc7uLM6ePotcWnx48F4faEGLCD,3101,216,334801,1584809402
11682035,8129,1075,2022-04-02 16:14:25.000,8129,1075,2022-04-02 16:14:25.000,595,abpsGMPCyXLZEQo2USrs0qNMRu,3101,216,667204,1584072500
11708427,8131,601,2022-04-04 08:20:51.000,8131,601,2022-04-04 08:20:51.000,595,__ANONYMOUS__,3101,216,334801,1584078480
11632955,8126,1260,2022-03-30 19:19:03.000,8126,1260,2022-03-30 19:19:03.000,595,bc1eEO30z15Oea3WZiqvKznYj2,3101,216,618901,1584055263
14641252,8331,760,2022-10-21 10:59:40.000,8331,760,2022-10-21 10:59:40.000,595,cdmAd1IbaXiTdw9OlZlXvcKsdg,3101,216,618901,1584809519
11641301,8127,403,2022-03-31 05:02:06.000,8127,403,2022-03-31 05:02:06.000,595,__ANONYMOUS__,3101,216,618901,1584057271
14618264,8329,1265,2022-10-19 19:24:12.000,8329,1265,2022-10-19 19:24:12.000,595,aeSxQG2i9z7JOUcraKo9jBJb77,3101,216,618901,1584802238
11591222,8124,711,2022-03-28 10:10:55.000,8124,711,2022-03-28 10:10:55.000,595,ab2y37OJbfxOnV8PNGnNzNT8Jp,3101,216,618901,1584037040
11631948,8126,1226,2022-03-30 18:45:03.000,8126,1226,2022-03-30 18:45:03.000,595,__ANONYMOUS__,3101,216,103,1584054581
11546030,8121,1282,2022-03-25 19:41:41.000,8121,1282,2022-03-25 19:41:41.000,595,__ANONYMOUS__,3101,216,618901,1584026035
