customer_list_record_id,utc_record_day_id,utc_record_time_id,utc_record_timestamp,std_record_day_id,std_record_time_id,std_record_timestamp,std_record_timezone_id,site_id,ncustomer_list_id,num_customers
5113,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,1103,skinceuticals-de,3922
5114,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,902,nyx-fr,412572
5115,7456,965,2020-05-29 14:24:07.000,7456,965,2020-05-29 14:24:07.000,595,1401,kiehls-ksa,4301
5116,7456,965,2020-05-29 14:24:07.000,7456,965,2020-05-29 14:24:07.000,595,114,lancome-emea,36417
5117,7456,965,2020-05-29 14:24:07.000,7456,965,2020-05-29 14:24:07.000,595,116,lancome-fr,122668
5118,7456,965,2020-05-29 14:24:07.000,7456,965,2020-05-29 14:24:07.000,595,904,nyx-es,139455
5119,7456,965,2020-05-29 14:24:07.000,7456,965,2020-05-29 14:24:07.000,595,1901,mydermacenter-fr,0
5120,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,801,kiehls-mea,16146
5121,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,118,lancome-emea-me-east,1270
5122,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,119,house99-master,1
5123,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,120,giorgioarmani-uk,31775
5124,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,121,urbandecay-fr,79974
5125,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,301,itcosmetics-uk,24849
5126,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,1302,giorgioarmani-de,1
5127,7456,965,2020-05-29 14:24:08.000,7456,965,2020-05-29 14:24:08.000,595,302,urbandecay-uk,210710
5128,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,303,biotherm-emea-west,33415
5129,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,304,ysl-uk,55284
5130,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,307,biotherm-global,7
5131,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,308,kerastase-emea-west,59229
5132,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,309,kiehls-emea,54115
5133,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,310,nyx,148016
5134,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,102,urbandecay,4578
5135,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,1102,skinceuticals-fr,6913
5136,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,104,mbl-fr,5150
5137,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,107,lancome-emea-me,1966
5138,7456,965,2020-05-29 14:24:10.000,7456,965,2020-05-29 14:24:10.000,595,108,skinceuticals-master,2
5139,7456,965,2020-05-29 14:24:11.000,7456,965,2020-05-29 14:24:11.000,595,109,kiehls-emea-west,236170
5140,7456,965,2020-05-29 14:24:11.000,7456,965,2020-05-29 14:24:11.000,595,110,ysl-dmi,1
5141,7456,965,2020-05-29 14:24:11.000,7456,965,2020-05-29 14:24:11.000,595,1002,house99-es,59
5142,7456,965,2020-05-29 14:24:11.000,7456,965,2020-05-29 14:24:11.000,595,1801,giorgioarmani-eu,6301
5143,7456,965,2020-05-29 14:24:14.000,7456,965,2020-05-29 14:24:14.000,595,111,lorealparis-fr,683329
5144,7456,965,2020-05-29 14:24:14.000,7456,965,2020-05-29 14:24:14.000,595,601,urbandecay-mea,12085
