visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-27,103,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 4.2 Jelly Bean,Android,Smartphone,Xperia L,Sony,2,UNKNOWN_LOCALE
2019-06-27,116,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy S8,Samsung,2,UNKNOWN_LOCALE
2019-06-27,121,false,Mobile browser,Facebook App,WebKit,Android 8.0 Oreo,Android,Smartphone,P20 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,109,false,Browser,Firefox,Gecko,OS X 10.9 Mavericks,OS X,Desktop,Mac,Apple,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Facebook App,WebKit,Android 7.0 Nougat,Android,Smartphone,Galaxy A5 (2016),Samsung,2,UNKNOWN_LOCALE
2019-06-27,305,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,P10,Huawei,2,UNKNOWN_LOCALE
2019-06-27,1103,true,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Tablet,iPad,Apple,2,UNKNOWN_LOCALE
2019-06-27,1302,false,Mobile browser,Instagram App,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,G7 ThinQ,LG,2,UNKNOWN_LOCALE
2019-06-27,308,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy A8+ (2018),Samsung,2,UNKNOWN_LOCALE
2019-06-27,106,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 5.1 lollipop,Android,Smartphone,Y6 Compact,Huawei,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Facebook App,WebKit,Android 9.0 Pie,Android,Smartphone,Galaxy S10+,Samsung,2,UNKNOWN_LOCALE
2019-06-27,1701,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy A8 (2018),Samsung,2,UNKNOWN_LOCALE
2019-06-27,106,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Honor 7A,Huawei,2,UNKNOWN_LOCALE
2019-06-27,113,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Xperia XA1,Sony,2,UNKNOWN_LOCALE
2019-06-26,303,false,Mobile browser,Snapchat App,unknown,iOS 11,iOS,Smartphone,iPhone 7 Plus,Apple,2,UNKNOWN_LOCALE
2019-06-27,113,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy S8+,Samsung,2,UNKNOWN_LOCALE
2019-06-27,309,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Redmi Note 4,Xiaomi,2,UNKNOWN_LOCALE
2019-06-27,601,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J7,Samsung,2,UNKNOWN_LOCALE
2019-06-27,1101,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J7 (2016),Samsung,2,UNKNOWN_LOCALE
2019-06-27,112,true,Mobile browser,Chrome Mobile,WebKit/Blink,iOS 11,iOS,Smartphone,iPhone,Apple,2,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Redmi S2,Xiaomi,2,UNKNOWN_LOCALE
2019-06-27,309,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,ZenFone 3 Zoom,Asus,2,UNKNOWN_LOCALE
2019-06-27,308,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 5.1 lollipop,Android,Smartphone,Galaxy J5,Samsung,2,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Ecosia Browser,WebKit,Android 8.1 Oreo,Android,Smartphone,P Smart+ (2018),Huawei,2,UNKNOWN_LOCALE
