sku_id,nsku_id,sku_display_name,sku_upc_code,sku_ean_code,sku_brand,sku_manufacture_name,sku_manufacture_sku,product_id,nproduct_id,product_display_name,product_upc_code,product_ean_code,product_brand,product_manufacture_name,product_manufacture_sku,is_master,is_bundle
16249,3365440333420,3365440333420,3365440333420,3365440333420,YSL,,,5845,3365440333420,3365440333420,3365440333420,3365440333420,YSL,,,false,false
16250,3365440333444,3365440333444,3365440333444,3365440333444,YSL,,,5846,3365440333444,3365440333444,3365440333444,3365440333444,YSL,,,false,false
16251,3365440333451,3365440333451,3365440333451,3365440333451,YSL,,,5847,3365440333451,3365440333451,3365440333451,3365440333451,YSL,,,false,false
16254,3365440333482,3365440333482,3365440333482,3365440333482,YSL,,,5850,3365440333482,3365440333482,3365440333482,3365440333482,YSL,,,false,false
16255,3365440333499,3365440333499,3365440333499,3365440333499,YSL,,,5851,3365440333499,3365440333499,3365440333499,3365440333499,YSL,,,false,false
17900,3365440259577,3365440259577,3365440259577,3365440259577,YSL,,,7367,241YSL,YSL Paris Perfumed Body Creme,,,YSL,,,true,false
17901,3365440339996,3365440339996,3365440339996,3365440339996,YSL,,,7368,242YSL,YOUNG SEXY LOVELY BODY LOTION,,,YSL,,,true,false
17904,3365440569584,3365440569584,3365440569584,3365440569584,YSL,,,7371,3365440569584,3365440569584,3365440569584,3365440569584,YSL,,,false,false
17905,3365440353237,3365440353237,3365440353237,3365440353237,YSL,,,7372,3365440353237,3365440353237,3365440353237,3365440353237,YSL,,,false,false
17906,3365440306349,3365440306349,3365440306349,3365440306349,YSL,,,7373,3365440306349,3365440306349,3365440306349,3365440306349,YSL,,,false,false
17907,3365440071056,3365440071056,3365440071056,3365440071056,YSL,,,7374,3365440071056,3365440071056,3365440071056,3365440071056,YSL,,,false,false
17908,3365440130173,3365440130173,3365440130173,3365440130173,YSL,,,7375,1000YSLMini,Mini Mascara Volume Effet Faux Cils Shocking,,,YSL,,,true,false
17914,3365440325050,3365440325050,3365440325050,3365440325050,YSL,,,7379,132YSL,Golden Gloss,,,YSL,,,true,false
1343701,3614271513779,3614271513779,3614271513779,3614271513779,Lancôme,,,98777,3614271513779,3614271513779,3614271513779,3614271513779,Lancôme,,,false,false
1343707,3614271514035,3614271514035,3614271514035,3614271514035,Lancôme,,,98783,3614271514035,3614271514035,3614271514035,3614271514035,Lancôme,,,false,false
