recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-08,106,PDP-real-time,8428,25012,453,84,15,12,368.230000
2020-02-11,109,products-in-all-categories-Cart-Page,2449,24283,82,30,6,6,218.440000
2020-02-11,121,PDP-RealTime,1300,3900,67,16,0,0,0.000000
2020-02-11,302,Checkout,1070,6420,47,18,6,5,144.400000
2020-02-11,121,Search-All-Categ,7,42,0,0,0,0,0.000000
2020-02-11,106,PDP-real-time,3114,9224,170,19,5,4,98.860000
2020-02-11,109,product-to-product-AddToCart,42429,126500,2253,358,56,52,1491.530000
2020-02-11,112,Cart-Page-All-Categories,967,4835,30,6,1,1,41.430000
2020-02-11,106,Checkout,585,2824,36,9,0,0,0.000000
2020-02-11,112,Real-Time-Recommendations-Add-to-Cart-Popup,17412,87042,1300,274,70,60,2336.910000
2020-02-11,112,Real-Time-Recommendations-PDP,9609,95900,585,77,18,17,540.220000
2020-02-11,302,PDP-Real-Time,5401,16203,295,53,8,5,224.700000
2020-02-11,121,Checkout-Real-Time,383,2298,18,7,0,0,0.000000
2020-02-11,106,Search,20,110,1,0,0,0,0.000000
2020-02-11,302,Search,9,54,1,0,0,0,0.000000
2020-02-11,309,Einstein-Cart-Page,130,650,1,1,0,0,0.000000
2020-02-11,109,product-to-product-PDP-Full-Predictive,20441,101955,1280,118,19,18,521.030000
2020-02-10,112,Real-Time-Recommendations-Add-to-Cart-Popup,18307,91518,1344,303,73,62,2309.600000
2020-02-10,106,PDP-real-time,3344,9929,169,17,6,5,97.450000
2020-02-10,109,product-to-product-AddToCart,36821,109721,1855,327,48,45,1468.840000
2020-02-10,106,Search,21,122,1,0,0,0,0.000000
2020-02-12,112,Real-Time-Recommendations-PDP,10645,106085,658,93,23,22,705.180000
2020-02-12,302,Checkout,1124,6744,48,4,3,3,53.280000
2020-02-12,121,PDP-RealTime,1161,3481,40,7,1,1,28.320000
2020-02-12,112,Real-Time-Recommendations-Add-to-Cart-Popup,19019,95107,1399,281,70,58,1948.010000
2020-02-12,112,Cart-Page-All-Categories,1025,5125,39,11,3,3,92.480000
2020-02-12,109,product-to-product-AddToCart,38032,113278,1888,294,63,52,1862.650000
2020-02-12,309,Einstein-Cart-Page,205,1021,1,0,0,0,0.000000
2020-02-12,302,PDP-Real-Time,4965,14895,217,39,8,8,148.140000
2020-02-12,121,Checkout-Real-Time,322,1932,18,4,1,1,16.660000
2020-02-12,106,PDP-real-time,2870,8466,127,13,4,4,104.780000
2020-02-12,106,Search,8,46,0,0,0,0,0.000000
