search_date,site_id,registered,device_class_code,locale_code,query,has_results,num_searches,num_visits,num_orders,std_revenue,num_units
2020-09-26,109,true,unknown,nl_NL,toner,true,1,1,1,133.550000,7
2020-09-26,109,true,unknown,nl_NL,ultra facial clenser,true,1,1,1,86.940000,6
2020-09-26,113,true,smartphone,fr_FR,Teracota,false,1,1,1,130.390000,13
2020-09-26,114,true,smartphone,de_DE,advanced yeux,true,2,1,1,116.420000,10
2020-09-26,109,true,unknown,de_CH,age defender,true,5,2,2,301.910000,10
2020-09-26,109,true,smartphone,de_DE,Ultra facial,true,7,5,5,392.030000,42
2020-09-26,109,true,smartphone,nl_NL,Micro blur,true,3,3,3,386.780000,26
2020-09-26,109,true,smartphone,nl_NL,Toner,true,7,5,5,507.900000,37
2020-09-26,109,true,unknown,nl_NL,ultra,true,4,3,3,158.660000,17
2020-09-26,114,true,smartphone,de_DE,Advanced youx,true,2,1,1,116.420000,10
2020-09-26,114,true,smartphone,de_DE,geschenke sets,false,1,1,1,71.430000,8
2020-09-26,114,true,smartphone,de_DE,geschenke sets,true,13,1,1,71.430000,8
2020-09-26,114,true,smartphone,de_DE,Hypnose doll exe,true,1,1,1,71.430000,8
2020-09-26,114,true,unknown,es_ES,mascara,true,3,1,1,89.260000,6
2020-09-26,114,true,unknown,es_ES,miracle,true,1,1,1,55.540000,4
2020-09-26,114,true,unknown,es_ES,miracle cushion,true,1,1,1,55.540000,4
2020-09-26,116,true,desktop,fr_FR,lotion,true,3,2,4,203.640000,19
2020-09-26,116,true,desktop,fr_FR,Trésor,true,1,1,1,70.300000,3
2020-09-26,116,true,smartphone,fr_FR,absolur,true,1,1,1,177.920000,7
2020-09-26,116,true,smartphone,fr_FR,Liner,true,4,1,1,21.250000,3
2020-09-26,116,true,smartphone,fr_FR,Lotion,true,2,1,1,94.210000,6
2020-09-26,116,true,unknown,fr_FR,14 EUROS,true,1,1,1,107.640000,6
2020-09-26,116,true,unknown,fr_FR,3614273232760,false,1,1,1,50.620000,7
2020-09-26,116,true,unknown,fr_FR,absolue,true,1,1,3,65.250000,12
2020-09-26,116,true,unknown,fr_FR,BROW PENCIL,true,1,1,1,107.640000,6
2020-09-26,116,true,unknown,fr_FR,coffret,true,9,2,5,154.630000,22
2020-09-26,116,true,unknown,fr_FR,COFFRET,true,11,1,1,62.190000,5
2020-09-26,116,true,unknown,fr_FR,COFFRET MULTI LIFT,true,1,1,1,62.190000,5
2020-09-26,116,true,unknown,fr_FR,DEODORANT,true,1,1,1,62.190000,5
2020-09-26,116,true,unknown,fr_FR,hypnose volume à porter,false,1,1,1,111.710000,8
2020-09-26,116,true,unknown,fr_FR,lancome confort,true,2,1,3,65.250000,12
2020-09-26,116,true,unknown,fr_FR,liner,true,3,1,1,59.060000,5
2023-08-15,3901,true,desktop,de_DE,Selbstbräuner,false,1,1,1,31.930000,2
2020-09-26,116,true,unknown,fr_FR,Masque,false,1,1,1,76.710000,7
2020-09-26,116,true,unknown,fr_FR,Masque,true,3,1,1,76.710000,7
2020-09-26,116,true,unknown,fr_FR,MINI ROUGE,true,1,1,1,62.190000,5
2020-09-26,116,true,unknown,fr_FR,pencil,true,1,1,1,107.640000,6
2020-09-26,116,true,unknown,fr_FR,volume à porter,false,1,1,1,111.710000,8
2020-09-26,117,true,desktop,en_GB,City mira,true,1,1,1,89.400000,5
2020-09-26,117,true,desktop,en_GB,IN LOVE,true,1,1,1,56.560000,3
2020-09-26,120,true,smartphone,en_GB,Eyeliner,true,1,1,1,54.730000,5
2020-09-26,120,true,smartphone,en_GB,Mascara,true,1,1,1,54.730000,5
2020-09-26,120,true,smartphone,en_GB,Nude lip gloss,true,1,1,1,20.440000,4
2020-09-26,301,true,unknown,en_GB,it foundation,true,1,1,1,24.810000,3
2020-09-26,302,true,smartphone,en_GB,Ultra glow,true,1,1,1,43.790000,4
2020-09-26,302,true,tablet,en_GB,Sharpener,true,1,1,1,29.190000,2
2020-09-26,302,true,unknown,en_GB,01971656,false,1,1,1,19.700000,2
2020-09-26,303,true,desktop,de_DE,Creme,true,6,1,1,28.320000,3
