recommendation_date,site_id,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-26,302,9,36,1,0,0,0,0.000000
2020-02-26,109,63157,239813,3534,934,175,131,5141.460000
2020-03-02,302,3,9,0,0,0,0,0.000000
2020-02-19,309,132,660,2,0,0,0,0.000000
2020-02-19,106,3513,11284,224,25,5,5,78.430000
2020-02-19,109,80274,317371,4476,1221,210,158,5661.600000
2020-02-19,112,27246,183523,1926,428,98,81,3009.430000
2020-02-12,309,205,1021,1,0,0,0,0.000000
2020-02-12,109,59475,231017,3241,434,88,64,2489.930000
2020-02-12,121,1492,5467,58,11,2,2,44.980000
2020-02-16,309,170,849,5,3,2,2,59.120000
2020-02-19,121,1940,6561,119,15,4,2,44.990000
2020-02-19,302,4721,16044,178,27,9,7,203.510000
2020-03-02,109,68808,271754,3560,965,189,155,5702.930000
2020-03-02,106,0,0,1,0,0,0,0.000000
2020-03-02,112,51157,333693,3181,979,148,120,4584.820000
2020-03-02,309,207,1033,5,2,1,1,67.560000
2020-03-09,109,42849,163862,2281,543,99,81,2997.070000
2020-02-16,121,1834,6453,121,21,1,1,25.500000
2020-02-16,112,33828,227187,2494,531,143,112,4334.240000
2020-02-16,302,5796,19800,230,21,10,7,188.620000
2020-03-09,112,30848,202120,2038,509,157,127,4498.570000
2020-03-09,309,325,1625,13,3,0,0,0.000000
2020-03-11,112,32151,216119,1984,489,145,118,4496.140000
2020-03-11,309,165,825,7,0,0,0,0.000000
2020-01-27,112,26221,175248,1813,417,92,73,2802.060000
2020-01-27,109,53938,207810,2839,350,75,61,2379.020000
2020-02-01,302,8080,27591,257,51,11,9,216.530000
2020-02-01,106,3309,10396,160,12,1,1,25.960000
2020-02-01,112,27647,186232,1957,413,110,85,3651.950000
2020-02-01,121,1978,7362,92,21,7,4,151.910000
2020-02-01,109,50043,193035,2835,441,89,67,2573.240000
2020-03-11,109,40770,156689,2107,502,113,88,3068.770000
2020-03-13,116,5701,57206,45,4,0,0,0.000000
2020-03-13,117,4600,48315,104,15,5,5,330.380000
2020-03-13,309,213,1064,11,4,1,1,22.160000
2020-03-13,109,47102,178620,2483,784,198,151,5612.660000
2020-03-13,112,28641,189212,1757,449,134,98,4275.360000
2020-03-13,114,184,1788,1,1,0,0,0.000000
2020-03-16,309,479,2386,15,9,1,1,36.070000
2020-02-06,302,4639,15858,178,39,10,8,196.160000
2020-02-06,106,15018,48660,855,194,50,42,1003.890000
2020-02-06,121,2027,7164,77,29,1,1,43.330000
2020-02-06,109,99613,370414,3975,560,129,100,3697.440000
2020-02-06,309,115,574,4,2,1,1,13.210000
2020-02-06,112,25772,172893,1771,307,96,77,3018.150000
2020-03-16,116,3774,38016,42,8,1,1,15.990000
2020-03-16,114,5929,59819,103,14,2,2,85.550000
2020-03-16,117,3655,36574,75,13,3,3,188.700000
2020-02-23,109,81413,322045,5180,1203,258,193,6901.960000
2020-02-23,112,40837,276337,3038,754,205,159,6851.960000
