coupon_id,ncoupon_id,coupon_type,description,is_enabled,redemption_limit,codes_count
10126,TRIO,1,null,true,0,1
10127,0test,1,null,true,0,1
10128,1test,1,null,true,0,1
10129,ANNIVERSAIRE,1,null,true,0,1
10130,BIENVENUE,1,null,true,0,1
10131,NEWSLETTER,1,null,true,0,1
10132,OFFRE30MEN,1,null,true,0,1
10133,PERFECTSLIM,1,null,true,0,1
10134,Promo_Panier_01,1,Promo 30%,true,0,1
10135,Shipping Discount,1,null,true,0,1
10136,TEST,1,null,true,0,1
10137,Testcoupon-globalexclus,1,null,true,0,1
10138,XMAS,1,null,true,0,1
10139,GOMMAGE,1,null,true,0,1
10140,VENTESPRIVEES,1,null,true,0,1
10141,MERCITEST,1,null,true,0,1
10142,VENTEPRIVEE,1,null,true,0,1
10143,VIP25,1,null,true,0,1
11820021,AIRCAMPUS5,1,null,true,0,1
10145,HELLO,1,null,true,0,1
10146,productdiscount,1,null,true,0,1
10147,source-code,1,null,true,0,1
10148,HELLO2018,1,null,true,0,1
10149,VIP15,1,null,true,0,1
10150,HYPNOSE,1,null,true,0,1
10151,LIFT,1,null,true,0,1
10153,EXCLUSIVE10,1,null,true,0,1
10154,FLEURSRARES,1,null,true,0,1
10155,HAPPY2018,1,null,true,0,1
10156,MASCARA,1,null,true,0,1
10157,TESTKDO,1,null,true,0,1
10158,BEAUTYSET,1,null,false,0,1
10159,BELLEPEAU,1,null,true,0,1
10152,PARADISE,1,null,true,0,1
10161,TRAVEL,1,null,true,0,1
10162,RADINS,1,null,true,0,1
10144,RENTREE,1,null,true,0,1
20107,KDO2,1,null,true,0,1
20108,ARGILEPURE,1,null,true,0,1
20109,INVINCIBLE,1,null,true,0,1
20110,MERCI,1,null,true,0,1
20111,PL_UD-20%,1,20% discount,true,0,1
20112,PL_100%_mixed,1,100% sale off + free shipping,true,2,1
20113,PL_UD30_JULY_2016,1,30% discount on category face and eyes,true,0,1
20114,PL_GOSIABOY_JULY_2016,1,20% discount,true,0,1
20115,PL_UD_CATALOGUE_2016,1,20% discount,true,0,1
20116,free-shipping-17-20october2016,1,Kód na dopravu zdarma,true,0,1
20117,20UD2016,1,Získejte 20 % na Váš nákup! Slevu získáte po zadání kódu 20UD2016,true,0,1
20118,PL UD OBSESSION12,1,null,true,0,1
20119,PL_LOREAL_March_2016,1,null,true,0,1
20120,PL_PREZENT_MARCH_2016,1,null,true,50,1
20121,PL UD FreeShipping Feb2017,1,null,true,0,1
20122,PL_MAKEUPTODAY_JUNE_2016,1,20% discount,true,0,1
20123,PL_LAMODE_AUGUST_2016,1,20% - discount,true,0,1
20124,PL_AGATA_AUGUST_2016,1,20% discount,true,0,1
20125,PL UD HUSH12,1,null,true,0,1
