business_channel_id,registered,site_id,first_time_buyer,sku_id,product_id,device_class_code,locale_code,std_revenue,num_orders,num_units,std_tax,std_shipping,std_total_discount,submit_date,std_promotional_discount
7,false,112,false,29630,17086,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,26105,13693,desktop,UNKNOWN_LOCALE,24.630270,1,1.000000,4.105045,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,26169,37685,desktop,UNKNOWN_LOCALE,52.685320,1,1.000000,8.620595,0.961753,5.747063,2017-01-01,4.785310
7,false,112,true,26172,13747,tablet,UNKNOWN_LOCALE,46.914800,1,1.000000,7.823043,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,26277,15120,desktop,UNKNOWN_LOCALE,13.488005,1,1.000000,2.251910,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,27539,247914,smartphone,UNKNOWN_LOCALE,56.297760,1,1.000000,9.382960,1.606832,1.606832,2017-01-01,0.000000
7,false,112,true,27796,15350,desktop,UNKNOWN_LOCALE,16.420180,1,1.000000,2.732787,0.961753,0.961753,2017-01-01,0.000000
7,false,112,true,28002,151071,desktop,UNKNOWN_LOCALE,41.050450,2,2.000000,6.849560,2.568585,2.568585,2017-01-01,0.000000
7,false,112,true,28018,15558,desktop,UNKNOWN_LOCALE,51.019845,1,1.000000,8.503308,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28031,15571,desktop,UNKNOWN_LOCALE,27.562445,1,1.000000,4.597650,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28031,15571,tablet,UNKNOWN_LOCALE,27.562445,1,1.000000,4.597650,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,28138,15678,desktop,UNKNOWN_LOCALE,41.050450,1,1.000000,6.837832,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28166,15703,desktop,UNKNOWN_LOCALE,0.000000,6,6.000000,0.000000,6.462513,6.462513,2017-01-01,0.000000
7,false,112,true,28166,15703,smartphone,UNKNOWN_LOCALE,0.000000,5,5.000000,0.000000,6.040280,6.040280,2017-01-01,0.000000
7,false,112,true,28166,15703,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28173,15711,desktop,UNKNOWN_LOCALE,26.389575,1,1.000000,4.398263,2.416112,2.416112,2017-01-01,0.000000
7,false,112,true,28215,15748,desktop,UNKNOWN_LOCALE,46.234535,1,2.000000,7.565012,0.598164,4.797039,2017-01-01,4.198875
7,false,112,true,28215,15748,smartphone,UNKNOWN_LOCALE,75.650115,3,3.000000,12.596625,3.624168,3.624168,2017-01-01,0.000000
7,false,112,true,28561,16062,desktop,UNKNOWN_LOCALE,42.223320,1,1.000000,7.037220,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,28573,16069,tablet,UNKNOWN_LOCALE,28.735315,1,1.000000,4.785310,1.606832,1.606832,2017-01-01,0.000000
7,false,112,true,28583,16076,desktop,UNKNOWN_LOCALE,17.593050,1,1.000000,2.932175,1.606832,1.606832,2017-01-01,0.000000
7,false,112,true,28583,16076,smartphone,UNKNOWN_LOCALE,17.593050,1,1.000000,2.932175,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28587,16081,desktop,UNKNOWN_LOCALE,0.000000,14,14.000000,0.000000,15.657813,15.657813,2017-01-01,0.000000
7,false,112,true,28587,16081,smartphone,UNKNOWN_LOCALE,0.000000,10,10.000000,0.000000,12.256491,12.256491,2017-01-01,0.000000
7,false,112,true,28587,16081,tablet,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,3.436509,3.436509,2017-01-01,0.000000
7,false,112,true,28597,16091,desktop,UNKNOWN_LOCALE,30.107573,1,1.000000,4.926054,0.598164,3.330951,2017-01-01,2.732787
7,false,112,true,28597,16091,smartphone,UNKNOWN_LOCALE,32.840360,1,1.000000,5.477303,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28608,16101,desktop,UNKNOWN_LOCALE,17.593050,1,1.000000,2.932175,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,28608,16101,smartphone,UNKNOWN_LOCALE,16.126963,1,1.000000,2.638958,1.208056,2.674144,2017-01-01,1.466088
7,false,112,true,28635,326758,desktop,UNKNOWN_LOCALE,40.464015,1,1.000000,6.744003,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,28729,332756,desktop,UNKNOWN_LOCALE,60.989240,1,1.000000,10.168783,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,28733,16215,desktop,UNKNOWN_LOCALE,48.380888,1,1.000000,7.916873,1.208056,5.606319,2017-01-01,4.398263
7,false,112,true,28734,16215,desktop,UNKNOWN_LOCALE,17.206003,1,1.000000,2.814888,1.208056,2.767973,2017-01-01,1.559917
7,false,112,true,28750,16231,desktop,UNKNOWN_LOCALE,0.000000,16,16.000000,0.000000,18.050468,18.050468,2017-01-01,0.000000
7,false,112,true,28750,16231,smartphone,UNKNOWN_LOCALE,0.000000,8,8.000000,0.000000,9.418145,9.418145,2017-01-01,0.000000
7,false,112,true,28750,16231,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.609892,0.609892,2017-01-01,0.000000
7,false,112,true,28760,16237,desktop,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,1.806220,1.806220,2017-01-01,0.000000
7,false,112,true,28760,16237,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,28820,16295,desktop,UNKNOWN_LOCALE,87.672033,2,2.000000,14.484945,1.559917,5.371745,2017-01-01,3.811828
7,false,112,true,29101,16572,smartphone,UNKNOWN_LOCALE,11.142265,1,1.000000,1.853135,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,29141,16610,tablet,UNKNOWN_LOCALE,18.765920,1,1.000000,3.131563,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,29171,16639,desktop,UNKNOWN_LOCALE,0.000000,16,16.000000,0.000000,17.428846,17.428846,2017-01-01,0.000000
7,false,112,true,29171,16639,smartphone,UNKNOWN_LOCALE,0.000000,12,12.000000,0.000000,14.660874,14.660874,2017-01-01,0.000000
7,false,112,true,29171,16639,tablet,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,3.424780,3.424780,2017-01-01,0.000000
7,false,112,true,29462,16928,smartphone,UNKNOWN_LOCALE,56.297760,1,1.000000,9.382960,0.961753,0.961753,2017-01-01,0.000000
7,false,112,true,29465,16931,smartphone,UNKNOWN_LOCALE,56.297760,1,1.000000,9.382960,0.961753,0.961753,2017-01-01,0.000000
7,false,112,true,29478,16944,desktop,UNKNOWN_LOCALE,93.829600,2,2.000000,15.646086,2.416112,2.416112,2017-01-01,0.000000
7,false,112,true,29478,16944,smartphone,UNKNOWN_LOCALE,93.829600,2,2.000000,15.646086,2.416112,2.416112,2017-01-01,0.000000
7,false,112,true,29509,16972,desktop,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,1.829676,1.829676,2017-01-01,0.000000
7,false,112,true,29509,16972,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.609892,0.609892,2017-01-01,0.000000
7,false,112,true,29630,17086,desktop,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,1.806220,1.806220,2017-01-01,0.000000
7,false,112,true,29630,17086,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.598164,0.598164,2017-01-01,0.000000
7,false,112,true,29645,17102,desktop,UNKNOWN_LOCALE,31.667490,1,1.000000,5.277915,2.416112,2.416112,2017-01-01,0.000000
7,false,112,true,30324,17749,desktop,UNKNOWN_LOCALE,21.111660,1,1.000000,3.518610,1.208056,1.208056,2017-01-01,0.000000
7,false,112,true,30324,17749,smartphone,UNKNOWN_LOCALE,21.111660,1,1.000000,3.518610,1.208056,1.208056,2017-01-01,0.000000
7,false,113,true,17818,7320,desktop,UNKNOWN_LOCALE,34.000000,1,1.000000,5.670000,1.250000,1.250000,2017-01-01,0.000000
7,false,113,true,17839,7323,smartphone,UNKNOWN_LOCALE,121.250000,1,1.000000,20.210000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,18029,7408,desktop,UNKNOWN_LOCALE,32.900000,1,1.000000,5.480000,1.250000,1.250000,2017-01-01,0.000000
7,false,113,true,18597,7687,smartphone,UNKNOWN_LOCALE,0.000000,1,2.000000,0.000000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,19016,8070,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,19017,8070,smartphone,UNKNOWN_LOCALE,5.000000,2,2.000000,0.840000,1.500000,1.500000,2017-01-01,0.000000
7,false,113,true,19108,8136,desktop,UNKNOWN_LOCALE,66.600000,1,1.000000,11.100000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,19779,8704,desktop,UNKNOWN_LOCALE,32.900000,1,1.000000,5.480000,1.250000,1.250000,2017-01-01,0.000000
7,false,113,true,20262,9144,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,20280,9160,desktop,UNKNOWN_LOCALE,181.730000,1,1.000000,29.430000,1.870000,27.840000,2017-01-01,25.970000
7,false,113,true,20280,9160,smartphone,UNKNOWN_LOCALE,207.700000,1,1.000000,34.620000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,20335,9203,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,1.250000,1.250000,2017-01-01,0.000000
7,false,113,true,20349,9214,desktop,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,3.250000,3.250000,2017-01-01,0.000000
7,false,113,true,20349,9214,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,20427,9268,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,1.250000,1.250000,2017-01-01,0.000000
7,false,113,true,20427,9268,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,20432,9273,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,1.880000,1.880000,2017-01-01,0.000000
7,false,113,true,20432,9273,smartphone,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,1.500000,1.500000,2017-01-01,0.000000
7,false,113,true,20452,9287,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.750000,0.750000,2017-01-01,0.000000
7,false,113,true,20543,9322,smartphone,UNKNOWN_LOCALE,32.980000,1,1.000000,5.340000,1.250000,5.970000,2017-01-01,4.720000
7,false,113,true,20653,9369,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,1.250000,1.250000,2017-01-01,0.000000
7,false,113,true,20676,9376,desktop,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,3.250000,3.250000,2017-01-01,0.000000
7,false,113,true,20676,9376,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,1.250000,1.250000,2017-01-01,0.000000
7,false,114,true,31191,18310,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,114,true,33204,19909,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,114,true,33732,20223,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,114,true,37481,23096,smartphone,UNKNOWN_LOCALE,78.000000,1,1.000000,13.540000,0.000000,0.000000,2017-01-01,0.000000
7,false,114,true,37501,23116,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,114,true,42811,25714,smartphone,UNKNOWN_LOCALE,0.000000,1,4.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,false,33309,20004,smartphone,UNKNOWN_LOCALE,68.050000,1,1.000000,11.840000,2.500000,0.000000,2017-01-01,0.000000
7,false,116,false,39628,24584,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.500000,2.500000,0.000000,2017-01-01,0.000000
7,false,116,true,30417,17821,desktop,UNKNOWN_LOCALE,28.700000,1,1.000000,4.780000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,30512,373566,desktop,UNKNOWN_LOCALE,29.500000,1,1.000000,5.050000,0.660000,0.000000,2017-01-01,0.000000
7,false,116,true,30515,642361,desktop,UNKNOWN_LOCALE,51.650000,1,1.000000,8.700000,1.250000,4.700000,2017-01-01,4.700000
7,false,116,true,30533,17861,smartphone,UNKNOWN_LOCALE,56.150000,1,1.000000,9.520000,0.830000,0.000000,2017-01-01,0.000000
7,false,116,true,31073,18202,desktop,UNKNOWN_LOCALE,0.000000,2,2.000000,0.130000,0.670000,0.000000,2017-01-01,0.000000
7,false,116,true,31074,18202,smartphone,UNKNOWN_LOCALE,2.290000,1,1.000000,0.380000,0.000000,0.210000,2017-01-01,0.210000
7,false,116,true,31193,18312,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.140000,0.670000,0.000000,2017-01-01,0.000000
7,false,116,true,31924,18917,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.140000,0.670000,0.000000,2017-01-01,0.000000
7,false,116,true,31924,18917,smartphone,UNKNOWN_LOCALE,0.000000,2,2.000000,0.170000,0.830000,0.000000,2017-01-01,0.000000
7,false,116,true,33034,19762,desktop,UNKNOWN_LOCALE,0.000000,2,2.000000,0.250000,1.250000,0.000000,2017-01-01,0.000000
7,false,116,true,33034,19762,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,33036,19764,smartphone,UNKNOWN_LOCALE,0.000000,2,2.000000,0.170000,0.840000,0.000000,2017-01-01,0.000000
7,false,116,true,33117,19828,desktop,UNKNOWN_LOCALE,24.000000,1,1.000000,4.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,33213,19916,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,33213,19916,smartphone,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,33273,748701,smartphone,UNKNOWN_LOCALE,123.430000,1,1.000000,20.190000,0.000000,11.220000,2017-01-01,11.220000
7,false,116,true,35541,21955,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,35541,21955,smartphone,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
7,false,116,true,36356,22439,desktop,UNKNOWN_LOCALE,0.000000,1,1.000000,0.250000,1.250000,0.000000,2017-01-01,0.000000
7,false,116,true,36356,22439,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.000000,0.000000,2017-01-01,0.000000
