promotion_id,npromotion_id,display_name,promotion_class,is_continuous,valid_from,valid_to
17980015,INT_LINE,INT_LINE,PRODUCT,true,,
17930001,pl-boost-your-natural-glow,pl-boost-your-natural-glow,ORDER,true,,
17980016,IT-Promo-Idole-DB-15-Off,IT-Promo-Idole-DB-15-Off,PRODUCT,true,,
17980017,20-OFF-FREESHIPPING-GACDE,20-OFF-FREESHIPPING-GACDE,PRODUCT,true,,
17980018,GWP_LVER_GENRENRT,GWP_LVER_GENRENRT,ORDER,true,,
17980019,INT_GWP,INT_GWP,ORDER,true,,
17980020,10-OFF-FREESHIPPING-GACDE,10-OFF-FREESHIPPING-GACDE,PRODUCT,true,,
17980021,FR-WELCOME10OFFER,FR-WELCOME10OFFER,PRODUCT,true,,
17980022,GWP_RADIANT_Spend50,GWP_RADIANT_Spend50,ORDER,true,,
17980023,E2-BNL-FOR-CALLOUT-F&F,E2-BNL-FOR-CALLOUT-F&F,SHIPPING,true,,
17980025,FR-FREESHIPPING,FR-FREESHIPPING,SHIPPING,true,,
17980026,DE-FREESHIPPING,DE-FREESHIPPING,SHIPPING,true,,
17980027,IT-WELCOME10OFFER,IT-WELCOME10OFFER,PRODUCT,true,,
17980028,INT_GWP,INT_GWP,PRODUCT,true,,
17980030,ES-WELCOME10OFFER,ES-WELCOME10OFFER,PRODUCT,true,,
17980031,30-OFF-FREESHIPPING-GACFR,30-OFF-FREESHIPPING-GACFR,PRODUCT,true,,
17980032,10-OFF-FREESHIPPING-GACFR,10-OFF-FREESHIPPING-GACFR,PRODUCT,true,,
17980033,SKINCARE TRIO,SKINCARE TRIO,ORDER,true,,
17980034,GWP-All-Launch,GWP-All-Launch,ORDER,true,,
17870001,IT-Promo-Fondotinta-GWP,IT-Promo-Fondotinta-GWP,PRODUCT,true,,
17980035,20-OFF-FREESHIPPING-GACES,20-OFF-FREESHIPPING-GACES,PRODUCT,true,,
17980036,INT_HEADER,INT_HEADER,ORDER,true,,
17980037,UK_DISCOUNT_BA_20191003,UK_DISCOUNT_BA_20191003,ORDER,true,,
17980039,de_gwpaktion2_sep2019,de_gwpaktion2_sep2019,ORDER,true,,
17980040,10-OFF-FREESHIPPING-GACES,10-OFF-FREESHIPPING-GACES,PRODUCT,true,,
17950001,Shipping_YFQ30_20191002,Shipping_YFQ30_20191002,SHIPPING,true,,
17940001,es-veepeeoctubre-dlx,es-veepeeoctubre-dlx,ORDER,true,,
17920001,FR_DISCOUNT_CHINESE-WEEK_20191002,FR_DISCOUNT_CHINESE-WEEK_20191002,PRODUCT,true,,
17980038,es-Nataliaxlancome,es-Nataliaxlancome,PRODUCT,true,,
17980041,30-OFF-FREESHIPPING-GACIT,30-OFF-FREESHIPPING-GACIT,PRODUCT,true,,
17980042,GWP_Honey_2DLXs,GWP_Honey_2DLXs,PRODUCT,true,,
17980043,INT_HEADER,INT_HEADER,ORDER,true,,
17980044,pl-lipikar,pl-lipikar,PRODUCT,true,,
17980045,es-oct-makeup25,es-oct-makeup25,PRODUCT,true,,
17980046,30-OFF-FREESHIPPING-GACES,30-OFF-FREESHIPPING-GACES,PRODUCT,true,,
17980047,E2-AT-ANNA19,E2-AT-ANNA19,PRODUCT,true,,
17980048,ES_GWP_PROMO_20190930,ES_GWP_PROMO_20190930,ORDER,true,,
17980049,GWP_AROUGE_2_20190927,GWP_AROUGE_2_20190927,ORDER,true,,
17980050,ES-FREESHIPPING,ES-FREESHIPPING,SHIPPING,true,,
17980051,INT_SHIPPING,INT_SHIPPING,SHIPPING,true,,
17980052,FREESHIP - TRESHOLD,FREESHIP - TRESHOLD,SHIPPING,true,,
17980053,INT_LINE,INT_LINE,PRODUCT,true,,
17980054,UK_DISCOUNT_BASQUAD_20191003,UK_DISCOUNT_BASQUAD_20191003,ORDER,true,,
104240002,promotion-50%-TBA-NOV,promotion-50%-TBA-NOV,PRODUCT,false,,
17980056,20-OFF-FREESHIPPING-GACIT,20-OFF-FREESHIPPING-GACIT,PRODUCT,true,,
17980057,BIRTHDAY-GWP-ES,BIRTHDAY-GWP-ES,ORDER,true,,
17980058,INT_SHIPPING,INT_SHIPPING,SHIPPING,true,,
23030001,IT-Promo-Lip,IT-Promo-Lip,PRODUCT,true,,
18110001,GWP_201910_HALLOWEEN_SPEND_60,GWP_201910_HALLOWEEN_SPEND_60,ORDER,true,,
18110002,DE_cremedecorps_2019,DE_cremedecorps_2019,ORDER,true,,
18110004,IT_DISCOUNT_CHANTAL20_20190409,IT_DISCOUNT_CHANTAL20_20190409,PRODUCT,true,,
18110005,FR_GWP_20191010,FR_GWP_20191010,ORDER,true,,
18110006,ES-Powerful-,ES-Powerful-,PRODUCT,true,,
18090001,GWP_IDOLE_ROLLERBALL_12102019,GWP_IDOLE_ROLLERBALL_12102019,PRODUCT,true,,
18020001,DE_troublemnakermascara_31.10.2019,DE_troublemnakermascara_31.10.2019,ORDER,true,,
